fold,train_start,train_end,test_start,test_end,n_train,n_test,test_window_size,mae,rmse,mape,r2,model
13,2024-01-01 00:00:00+00:00,2025-06-06 13:00:00+00:00,2025-06-06 14:00:00+00:00,2025-06-13 13:00:00+00:00,12541,168,168,48262.07948517907,61499.32511610162,6.801946372424612,0.9194723664180947,ridge
14,2024-01-01 00:00:00+00:00,2025-06-13 13:00:00+00:00,2025-06-13 14:00:00+00:00,2025-06-20 13:00:00+00:00,12709,168,168,50543.82058675046,70489.98679151319,7.112772692973839,0.9359188248009587,ridge
15,2024-01-01 00:00:00+00:00,2025-06-20 13:00:00+00:00,2025-06-20 14:00:00+00:00,2025-06-27 13:00:00+00:00,12877,168,168,49723.65834456417,75459.12281915167,7.5561557871728064,0.8898477206922519,ridge
16,2024-01-01 00:00:00+00:00,2025-06-27 13:00:00+00:00,2025-06-27 14:00:00+00:00,2025-07-04 13:00:00+00:00,13045,168,168,46314.388478027664,64543.67608713288,7.366037275475033,0.9085111196826811,ridge
17,2024-01-01 00:00:00+00:00,2025-07-04 13:00:00+00:00,2025-07-04 14:00:00+00:00,2025-07-11 13:00:00+00:00,13213,168,168,51832.50557336931,70309.38141851542,7.60506099979546,0.9526577920926247,ridge
18,2024-01-01 00:00:00+00:00,2025-07-11 13:00:00+00:00,2025-07-11 14:00:00+00:00,2025-07-18 13:00:00+00:00,13381,168,168,52358.23548658937,70003.00601593794,7.25352054801101,0.9377935567269875,ridge
19,2024-01-01 00:00:00+00:00,2025-07-18 13:00:00+00:00,2025-07-18 14:00:00+00:00,2025-07-25 13:00:00+00:00,13549,168,168,70031.83026272972,89082.50326466655,5.948156862939064,0.9306471360120266,ridge
20,2024-01-01 00:00:00+00:00,2025-07-25 13:00:00+00:00,2025-07-25 14:00:00+00:00,2025-08-01 13:00:00+00:00,13717,168,168,61676.57843552138,81740.69580073464,7.609104627165457,0.963118130047367,ridge
21,2024-01-01 00:00:00+00:00,2025-08-01 13:00:00+00:00,2025-08-01 14:00:00+00:00,2025-08-08 13:00:00+00:00,13885,168,168,40253.362726919404,53521.99045578782,7.568136587466855,0.8845186898287423,ridge
22,2024-01-01 00:00:00+00:00,2025-08-08 13:00:00+00:00,2025-08-08 14:00:00+00:00,2025-08-15 13:00:00+00:00,14053,168,168,51477.51930866297,78186.9240098896,8.001077197372204,0.8991530194837848,ridge
23,2024-01-01 00:00:00+00:00,2025-08-15 13:00:00+00:00,2025-08-15 14:00:00+00:00,2025-08-22 13:00:00+00:00,14221,168,168,51778.99697930169,68149.93632544753,5.727044607827268,0.9642855881654641,ridge
24,2024-01-01 00:00:00+00:00,2025-08-22 13:00:00+00:00,2025-08-22 14:00:00+00:00,2025-08-29 13:00:00+00:00,14389,168,168,53891.90023408081,70742.19326469995,5.983046552273398,0.9715079330294459,ridge
25,2024-01-01 00:00:00+00:00,2025-08-29 13:00:00+00:00,2025-08-29 14:00:00+00:00,2025-09-05 13:00:00+00:00,14557,168,168,62709.369848712035,76363.68766850184,5.8590746521067825,0.9196155815581846,ridge
26,2024-01-01 00:00:00+00:00,2025-09-05 13:00:00+00:00,2025-09-05 14:00:00+00:00,2025-09-12 13:00:00+00:00,14725,168,168,64660.07458535613,83519.20307774773,6.265975408147788,0.9460475532095545,ridge
27,2024-01-01 00:00:00+00:00,2025-09-12 13:00:00+00:00,2025-09-12 14:00:00+00:00,2025-09-19 13:00:00+00:00,14893,168,168,43927.87816215177,58210.85047310232,6.713580145034441,0.9498425091941958,ridge
28,2024-01-01 00:00:00+00:00,2025-09-19 13:00:00+00:00,2025-09-19 14:00:00+00:00,2025-09-26 13:00:00+00:00,15061,168,168,56979.15041236821,73721.55638839696,6.900226174327978,0.9741400750920532,ridge
29,2024-01-01 00:00:00+00:00,2025-09-26 13:00:00+00:00,2025-09-26 14:00:00+00:00,2025-10-03 13:00:00+00:00,15229,168,168,48891.90805811183,66487.8301163302,6.350559396005787,0.9878656275004534,ridge
30,2024-01-01 00:00:00+00:00,2025-10-03 13:00:00+00:00,2025-10-03 14:00:00+00:00,2025-10-10 13:00:00+00:00,15397,168,168,54613.43506522754,81111.25214254085,6.29610419843517,0.9537504474065344,ridge
31,2024-01-01 00:00:00+00:00,2025-10-10 13:00:00+00:00,2025-10-10 14:00:00+00:00,2025-10-17 13:00:00+00:00,15565,168,168,35311.6197737166,51977.9096886732,7.509897383454367,0.9632178445459765,ridge
32,2024-01-01 00:00:00+00:00,2025-10-17 13:00:00+00:00,2025-10-17 14:00:00+00:00,2025-10-24 13:00:00+00:00,15733,168,168,57837.65929403696,78150.90692966129,5.735375014761365,0.9816836228982744,ridge
33,2024-01-01 00:00:00+00:00,2025-10-24 13:00:00+00:00,2025-10-24 14:00:00+00:00,2025-10-31 13:00:00+00:00,15901,167,168,57681.07140916421,71119.4652642301,7.564209480355896,0.9781900322390238,ridge
34,2024-01-01 00:00:00+00:00,2025-10-31 13:00:00+00:00,2025-10-31 14:00:00+00:00,2025-11-07 13:00:00+00:00,16068,168,168,71393.9455537087,91892.67016982312,6.597971432752568,0.9779720646797364,ridge
35,2024-01-01 00:00:00+00:00,2025-11-07 13:00:00+00:00,2025-11-07 14:00:00+00:00,2025-11-14 13:00:00+00:00,16236,168,168,55415.614458925666,73182.0781374211,4.715613601088808,0.9911365035415366,ridge
36,2024-01-01 00:00:00+00:00,2025-11-14 13:00:00+00:00,2025-11-14 14:00:00+00:00,2025-11-21 13:00:00+00:00,16404,168,168,57050.7579702463,74111.1029673095,5.331034517071527,0.9778705314933052,ridge
37,2024-01-01 00:00:00+00:00,2025-11-21 13:00:00+00:00,2025-11-21 14:00:00+00:00,2025-11-28 13:00:00+00:00,16572,168,168,40795.75366995661,55117.88644360518,4.634884676975984,0.99144822631588,ridge
